MATCH_DATE,HOME_TEAM,AWAY_TEAM,A Win,B Win,Home Win,H_PLUS_MINUS_LS,A_PLUS_MINUS_LS,H_AVG_ODDS_L5,H_PLUS_MINUS_L5,A_PLUS_MINUS_L5,A_AVG_ODDS_L5,LS_PPG_DIFF,LS_FGPCT_DIFF,LS_FTPCT_DIFF,LS_TPPCT_DIFF,LS_OFF_REB_DIFF,LS_ASSIST_DIFF,LS_STEALS_DIFF,LS_TURNOVERS_DIFF,LS_BLOCKS_DIFF,L5_PPG_DIFF,L5_FGPCT_DIFF,L5_FTPCT_DIFF,L5_TPPCT_DIFF,L5_OFF_REB_DIFF,L5_ASSIST_DIFF,L5_STEALS_DIFF,L5_TURNOVERS_DIFF,L5_BLOCKS_DIFF
2016-10-30,Milwaukee Bucks,Brooklyn Nets,1.28,3.80,1,-8.89,-7.23,9,-9.20,-15.00,670.2,-1.14,-0.08,-0.06,-0.07,0.26,-4.17,-0.38,-1.62,0.10,-7.20,4.80,-3.20,-8.60,-4.00,1.80,-1.60,-0.60,0.80
2016-10-30,San Antonio Spurs,New Orleans Pelicans,1.05,10.00,1,-10.13,-2.33,-4206,17.00,-9.00,873,-0.28,0.01,-0.05,0.02,-1.63,0.95,-0.21,2.74,1.74,3.00,2.00,7.20,6.40,-2.40,-2.40,2.60,-6.00,6.20
2016-10-30,Denver Nuggets,Portland Trail Blazers,2.05,1.80,0,-2.03,7.22,-34,-10.40,-7.60,383,-8.44,0.02,0.10,0.02,-3.70,-0.72,-0.59,-2.71,-2.09,-6.60,2.60,1.20,-4.40,-1.60,0.80,-1.00,2.20,2.00
2016-10-30,Sacramento Kings,Minnesota Timberwolves,1.91,1.91,1,-1.16,-3.54,178,-5.60,-0.20,351,-0.58,-0.05,-0.12,-0.03,0.44,0.11,0.31,-1.22,0.47,0.00,-0.80,4.40,-4.20,0.20,-4.20,-1.40,1.80,-0.40
2016-10-30,LA Clippers,Utah Jazz,1.28,3.95,1,4.28,0.53,-279,12.80,5.20,-201,-0.55,0.12,0.09,0.07,-2.93,1.52,1.75,-1.18,1.05,5.80,1.80,-19.00,3.80,1.80,0.80,0.80,-1.60,-0.20
2016-10-30,Phoenix Suns,Golden State Warriors,6.70,1.13,0,-2.27,0.74,27,-7.20,-3.60,-105,-3.43,0.03,0.19,0.01,-1.70,0.82,-1.19,-0.10,1.99,-7.00,0.60,-0.20,-11.40,4.20,-3.20,-0.40,4.40,-0.80
2016-10-30,Miami Heat,San Antonio Spurs,3.30,1.34,0,3.52,-10.13,-159,8.40,2.60,-34,6.40,0.01,-0.04,0.01,-0.79,1.31,0.16,-3.40,-0.52,-8.40,-1.20,-7.60,-9.40,-2.20,-2.80,-5.20,0.60,0.60
2016-10-30,Detroit Pistons,Milwaukee Bucks,1.32,3.50,1,-2.58,-8.89,21,4.20,-8.60,297,4.23,0.03,0.00,0.03,0.72,4.37,0.30,1.22,0.53,-1.60,-1.40,1.60,3.80,-1.60,-2.00,-1.20,-7.00,-3.20
2016-10-30,Oklahoma City Thunder,Los Angeles Lakers,1.22,4.55,1,-4.13,-0.88,-80,12.40,-18.00,783,-6.61,0.06,0.12,0.03,-1.41,0.95,-1.90,-0.67,0.69,23.40,7.20,-5.40,-10.00,3.80,1.80,1.20,0.20,3.40
2016-10-31,Memphis Grizzlies,Washington Wizards,2.40,1.63,1,1.89,-2.05,533.2,-2.20,-3.40,-20,-4.74,-0.05,-0.02,-0.04,-0.25,-3.44,-0.09,-1.57,0.48,-8.40,-2.60,8.00,0.60,2.20,-6.60,-0.80,-2.00,2.20
2016-10-31,Houston Rockets,Dallas Mavericks,1.42,3.00,1,8.65,5.72,-1103,4.00,-10.20,677,8.86,0.01,-0.02,0.03,-0.44,5.26,1.35,1.80,2.08,14.20,6.20,-6.80,2.00,1.40,5.20,4.40,4.40,2.80
