FIGHTER_A,FIGHTER_B,Result,A Win,B Win,A_WIN_DIFF,A_FINISH_DIFF,A_AVG_ODDS,A_CUMULATIVE_RDS,A_STR_ACCURACY_DIFF,A_AVG_TD_ACCURACY,A_AVG_TD_DEFENCE,A_CTRL_TIME_DIFF,A_KD_PER_RD_DIFF,A_STR_PER_RD_DIFF,A_STR_ATTEMPT_PER_RD_DIFF,A_TD_PER_RD_DIFF,A_TD_ATTEMPT_PER_RD_DIFF,A_SUB_ATTEMPT_PER_RD_DIFF,B_WIN_DIFF,B_FINISH_DIFF,B_AVG_ODDS,B_CUMULATIVE_RDS,B_STR_ACCURACY_DIFF,B_AVG_TD_ACCURACY,B_AVG_TD_DEFENCE,B_CTRL_TIME_DIFF,B_KD_PER_RD_DIFF,B_STR_PER_RD_DIFF,B_STR_ATTEMPT_PER_RD_DIFF,B_TD_PER_RD_DIFF,B_TD_ATTEMPT_PER_RD_DIFF,B_SUB_ATTEMPT_PER_RD_DIFF,A_HEIGHT_DIFF,A_REACH_DIFF,A_AGE_DIFF,A_CUMULATIVE_RDS_DIFF
Loma Lookboonmee,Angela Hill,0,2.55,1.57,1,0,1.74,3.00,0.24,0.16,0.67,-0.11,0.00,11.33,-2.00,0.00,1.00,0.00,-1.00,0.00,2.28,34.00,0.11,0.29,0.64,-0.10,0.06,3.32,-15.00,-0.24,-1.09,-0.03,-2,-3,-11,-31.00
Tyson Nam,Kai Kara-France,0,3.2,1.38,-1,0,1.95,3.00,-0.14,0.00,1.00,0.05,0.00,-18.67,-27.67,0.00,0.00,0.00,2.00,0.00,1.46,12.00,0.11,0.32,0.93,0.11,0.08,6.92,3.50,0.08,-0.83,-0.25,3,-1,10,-9.00
Zubaira Tukhugov,Kevin Aguilar,1,1.95,1.87,3,1,1.55,13.00,0.04,0.52,1.00,-0.08,0.08,1.23,0.31,1.00,1.38,-0.15,1.00,0.00,1.94,9.00,-0.10,0.33,0.92,-0.01,0.00,-2.22,8.56,0.00,-1.56,0.00,1,-5,-3,4.00
Nathaniel Wood,John Dodson,0,1.67,2.3,3,3,1.51,7.00,0.00,0.44,0.92,0.20,0.14,5.43,12.29,0.43,0.14,0.57,3.00,5.00,2.05,43.00,0.04,0.23,0.83,0.00,0.23,-1.30,-6.00,-0.05,-0.72,-0.02,3,3,-9,-36.00
Merab Dvalishvili,Casey Kenney,1,1.59,2.5,0,-1,1.56,12.00,-0.02,0.48,0.93,0.45,0.08,7.75,24.67,2.08,4.33,-0.08,2.00,0.00,2.70,6.00,0.06,0.83,0.28,-0.03,0.00,3.50,4.50,-1.00,-1.50,0.17,-1,0,0,6.00
Corey Anderson,Jan Blachowicz,0,1.43,2.95,6,0,1.73,35.00,0.08,0.49,0.86,0.37,-0.09,10.34,19.34,1.46,2.69,-0.09,3.00,3.00,2.52,36.00,0.10,0.42,0.68,-0.12,0.08,3.11,4.72,0.00,-0.36,0.06,1,1,-6,-1.00
Raulian Paiva,Mark De La Rosa,1,1.41,3.05,-2,-1,2.52,4.00,-0.16,0.00,0.66,-0.18,0.00,1.00,4.00,-1.00,-2.00,0.25,-1.00,0.00,2.62,13.00,-0.05,0.16,0.50,-0.18,-0.08,-4.46,-0.85,-0.08,0.77,-0.08,2,4,-1,-9.00
Dequan Townsend,Devin Clark,0,4.25,1.25,-2,-1,4.23,6.00,-0.16,0.00,0.67,-0.64,-0.17,-4.50,-5.00,-0.67,-1.50,0.00,0.00,-4.00,2.31,18.00,-0.01,0.40,0.83,0.14,0.00,1.83,3.94,0.83,1.83,-0.22,3,4,4,-12.00
Montana De La Rosa,Mara Romero Borella,1,1.57,2.55,2,3,1.74,9.00,-0.21,0.27,0.67,0.25,0.00,-3.44,6.89,0.56,1.89,0.56,0.00,0.00,2.53,10.00,0.20,0.52,0.75,0.26,-0.10,0.50,-10.80,0.40,0.90,-0.20,1,-1,-9,-1.00
Rogerio Bontorin,Ray Borg,0,2.3,1.67,2,1,2.73,4.00,0.13,0.37,0.75,0.25,0.00,-3.25,-5.25,-0.25,0.00,0.50,2.00,1.00,2.15,30.00,0.07,0.57,0.70,0.25,0.00,-2.57,-3.80,0.60,1.23,0.30,1,4,1,-26.00
Yancy Medeiros,Lando Vannata,0,2,1.83,0,0,2.57,23.00,-0.13,0.08,0.81,-0.06,0.09,-6.87,2.65,-0.48,-1.26,0.09,-2.00,1.00,2.20,19.00,-0.08,0.41,0.78,0.03,0.26,-1.68,-0.84,-0.11,-0.42,-0.05,1,4,5,4.00
Jim Miller,Scott Holtzman,0,2.15,1.74,8,7,2.15,73.00,0.01,0.43,0.68,0.02,0.01,-0.49,-1.37,0.00,0.23,0.36,3.00,3.00,1.79,26.00,0.09,0.51,0.64,0.18,0.15,5.31,5.85,-0.15,-1.31,-0.08,-1,2,0,47.00
Valentina Shevchenko,Katlyn Chookagian,1,1.11,7.1,5,3,1.59,32.00,0.18,0.69,0.89,0.20,0.03,4.16,1.25,0.44,0.38,0.06,4.00,0.00,1.77,24.00,-0.04,0.00,0.64,-0.15,0.04,-1.13,2.25,-0.46,-0.38,0.04,-4,-2,0,8.00
James Krause,Trevin Giles,0,2.3,1.59,5,4,2.36,26.00,0.11,0.17,0.50,0.12,0.04,4.69,-1.58,-0.15,0.85,0.23,0.00,0.00,1.46,11.00,0.33,0.50,0.82,0.09,0.00,7.91,2.64,0.27,-0.45,-0.18,2,-1,6,15.00
Andre Ewell,Jonathan Martinez,1,1.75,2.13,0,-2,2.15,12.00,-0.09,0.25,0.63,-0.26,0.00,-2.42,0.42,-0.50,-1.33,-0.42,1.00,1.00,2.27,9.00,0.05,0.33,0.50,0.09,-0.11,3.00,-0.89,-0.44,-0.56,-0.22,0,5,6,3.00
Juan Adams,Justin Tafa,0,1.42,3,-1,0,1.61,7.00,-0.23,0.33,0.50,-0.10,0.00,7.43,22.86,-0.14,-0.14,0.00,-1.00,-1.00,1.95,1.00,0.33,0.00,1.00,0.44,-1.00,2.00,-3.00,0.00,0.00,0.00,5,6,1,6.00
Dan Ige,Mirsad Bektic,1,2.05,1.8,3,2,1.93,11.00,0.23,0.55,0.80,0.28,0.18,2.91,-2.82,0.55,2.09,0.00,4.00,1.00,1.32,17.00,0.04,0.42,1.00,0.48,0.00,5.24,11.18,1.00,1.24,-0.06,-1,1,0,-6.00
Andrea Lee,Lauren Murphy,0,3.85,1.29,2,0,1.44,12.00,0.24,0.38,0.47,0.13,0.00,8.00,-5.83,-0.25,-1.00,0.00,-1.00,2.00,2.73,21.00,-0.02,0.26,0.77,0.06,0.05,-0.29,-0.33,-0.19,-0.29,-0.10,1,2,-6,-9.00
Derrick Lewis,Ilir Latifi,1,1.44,2.85,8,5,2.10,41.00,-0.03,0.20,0.69,-0.13,0.07,1.44,4.83,-0.61,-1.02,-0.12,2.00,2.00,2.26,22.00,0.06,0.30,1.00,0.14,0.05,-3.23,-5.41,0.50,1.36,0.14,5,6,-3,19.00
Miles Johns,Mario Bautista,0,1.76,2.12,1,0,1.74,3.00,0.28,0.50,0.84,-0.38,0.00,6.67,2.67,0.00,-1.33,0.00,0.00,-1.00,3.83,4.00,0.02,0.50,0.55,0.01,-0.25,6.50,6.00,-0.50,-1.00,-0.50,-2,-3,-1,-1.00
Jon Jones,Dominick Reyes,1,1.22,4.65,18,10,1.24,68.00,0.25,0.52,0.99,0.30,0.07,10.59,7.26,0.56,0.68,0.13,6.00,4.00,1.40,10.00,0.14,0.17,0.88,-0.03,0.40,10.80,16.40,-0.30,-1.90,0.10,0,7,2,58.00
Junior Dos Santos,Curtis Blaydes,0,3.4,1.36,10,6,1.73,52.00,0.10,0.18,0.91,-0.05,0.17,7.19,10.19,-0.21,-1.40,0.00,5.00,2.00,1.38,23.00,0.01,0.63,0.90,0.47,-0.04,7.43,11.87,1.83,3.09,-0.09,0,-3,7,29.00
Lucie Pudilova,Justine Kish,0,1.59,2.5,-2,-1,2.40,17.00,-0.10,0.03,0.74,-0.05,0.12,2.29,14.82,-0.29,-0.53,-0.18,0.00,0.00,1.54,12.00,0.08,0.33,0.65,-0.07,0.00,0.67,-6.75,0.00,0.33,0.00,3,3,-6,5.00
Rafael Dos Anjos,Michael Chiesa,0,1.44,2.85,8,5,2.23,83.00,0.10,0.30,0.75,0.07,0.05,1.39,-4.29,0.01,0.04,0.18,5.00,2.00,1.98,27.00,-0.05,0.46,0.79,0.15,0.04,0.74,4.48,0.70,1.22,0.00,-5,-5,3,56.00
Dequan Townsend,Bevon Lewis,0,4.1,1.27,-1,-1,4.35,3.00,-0.31,0.00,0.34,-0.72,-0.33,-6.33,-4.33,-1.33,-2.00,0.00,-2.00,-1.00,1.59,6.00,-0.03,0.00,1.00,0.16,-0.17,5.00,13.33,0.00,0.83,0.00,0,0,5,-3.00
Montel Jackson,Felipe Colares,1,1.14,6,1,1,1.51,7.00,0.04,0.58,0.55,0.10,0.00,7.86,13.14,-0.43,-2.29,0.14,0.00,0.00,3.18,6.00,-0.10,0.31,0.47,-0.06,0.00,-2.67,-0.67,-0.50,0.33,-0.17,2,6,2,1.00
Lina Lansberg,Sara McMann,0,2.05,1.8,1,-2,3.70,19.00,0.05,0.31,0.45,-0.08,0.00,-3.26,-7.84,-0.32,-0.42,0.00,0.00,-1.00,1.72,19.00,-0.09,0.51,0.90,0.22,-0.05,-0.74,5.58,0.84,1.74,-0.21,1,-1,-2,0.00
Jordan Espinosa,Alex Perez,0,3.1,1.4,0,-1,1.88,4.00,0.36,0.17,1.00,0.16,0.00,6.00,4.50,0.25,1.00,-0.25,3.00,1.00,1.67,10.00,0.12,0.51,0.90,0.23,0.10,7.20,5.70,0.90,1.50,0.30,0,4,3,-6.00
Hannah Cifers,Angela Hill,0,2.8,1.45,1,-1,3.16,8.00,-0.01,0.33,0.81,-0.11,0.13,-1.25,-1.63,-0.38,-1.50,0.13,-2.00,-1.00,2.35,32.00,0.12,0.24,0.61,-0.14,0.06,2.78,-17.41,-0.28,-1.19,-0.03,-2,-2,-7,-24.00
Arnold Allen,Nik Lentz,1,1.43,2.95,6,2,1.67,18.00,0.01,0.38,0.78,-0.07,0.11,5.78,10.83,-0.17,-1.39,0.00,6.00,2.00,2.70,61.00,-0.01,0.32,0.65,0.12,-0.05,1.75,3.62,0.39,1.92,0.15,0,2,-10,-43.00
Anthony Pettis,Diego Ferreira,0,7.55,1.12,1,4,2.02,43.00,0.05,0.13,0.64,-0.21,0.05,-4.00,-7.72,-0.72,-1.49,0.26,5.00,3.00,2.11,19.00,-0.02,0.17,0.84,0.03,0.00,8.74,26.26,-0.32,-0.79,0.26,1,-2,-2,24.00
Holly Holm,Raquel Pennington,1,1.8,2.05,0,0,2.42,35.00,0.05,0.25,0.94,0.09,0.03,-0.06,6.91,0.03,-0.14,-0.03,3.00,1.00,2.81,32.00,0.07,0.46,0.74,0.01,0.00,0.31,-9.22,-0.03,0.25,0.25,1,2,7,3.00
Andre Fili,Sodiq Yusuff,0,3.9,1.31,3,0,1.77,31.00,-0.09,0.43,0.76,0.02,0.06,0.97,11.65,0.32,0.23,-0.10,3.00,2.00,1.41,5.00,0.04,0.00,1.00,0.09,0.40,9.40,14.20,0.00,0.60,0.00,2,3,3,26.00
Drew Dober,Nasrat Haqparast,1,2.3,1.71,2,1,2.30,26.00,-0.11,0.10,0.80,0.03,0.15,1.23,8.88,-0.15,0.38,-0.15,2.00,1.00,2.19,11.00,0.22,0.25,0.93,-0.04,0.36,9.36,-7.45,-0.18,-0.91,-0.09,-2,-2,7,15.00
Maurice Greene,Aleksei Oleinik,0,1.83,2.1,2,1,2.42,6.00,0.10,0.00,0.88,-0.16,0.17,3.17,9.50,-0.17,-0.50,0.17,2.00,3.00,2.64,14.00,-0.07,0.18,0.50,0.00,-0.14,-0.29,-0.93,0.07,0.93,0.57,5,0,-9,-8.00
Roxanne Modafferi,Maycee Barber,1,2.25,1.74,-2,1,3.56,19.00,-0.13,0.38,0.63,0.11,-0.05,-9.42,-5.21,0.11,1.26,-0.05,3.00,3.00,1.39,5.00,0.13,0.07,1.00,0.08,0.00,15.80,18.60,0.20,0.60,0.00,2,4,16,14.00
JJ Aldrich,Sabina Mazo,0,1.95,1.95,2,-1,2.26,17.00,0.01,0.12,0.69,0.03,0.00,-1.12,-5.41,-0.24,-0.29,0.00,0.00,0.00,1.65,6.00,0.22,0.50,0.95,0.12,0.00,13.83,4.33,0.50,-0.83,0.00,-2,-3,5,11.00
Donald Cerrone,Conor McGregor,0,3.75,1.33,13,10,1.85,71.00,0.02,0.31,0.94,0.03,0.17,0.01,0.66,0.21,0.04,0.11,7.00,5.00,1.59,24.00,0.09,0.16,0.81,-0.02,0.50,3.50,3.71,-0.17,-0.92,-0.17,4,-1,5,47.00
Askar Askarov,Tim Elliott,1,2.05,1.87,-1,0,1.65,3.00,0.06,0.36,0.00,-0.16,-0.33,-1.33,-6.33,1.00,3.33,0.00,-3.00,-2.00,2.82,28.00,0.06,0.61,0.70,0.03,0.04,5.68,6.64,0.75,0.89,0.14,-1,1,-6,-25.00
Chan Sung Jung,Frankie Edgar,1,1.66,2.29,3,3,3.83,18.00,0.15,0.21,0.88,0.12,0.11,2.44,7.67,0.00,-0.33,0.22,10.00,6.00,2.24,85.00,0.12,0.27,0.86,0.21,-0.04,5.98,6.67,0.48,1.65,0.01,1,4,-6,-67.00
Alatengheili,Ryan Benoit,1,2.26,1.65,1,0,1.83,3.00,0.03,0.42,1.00,0.18,0.00,-16.33,-47.00,1.00,2.00,0.00,0.00,0.00,2.75,14.00,-0.09,0.17,0.66,-0.31,0.29,-3.57,-5.93,-0.86,-2.14,-0.43,0,-2,-2,-11.00
Volkan Oezdemir,Aleksandar Rakic,1,2.45,1.57,1,1,3.12,15.00,0.07,0.16,0.83,-0.02,0.20,4.60,6.87,-0.13,-0.53,-0.20,4.00,2.00,1.53,8.00,-0.04,0.19,0.97,0.20,0.25,15.75,28.88,0.13,-1.50,0.00,-2,-3,3,7.00
Tanner Boser,Ciryl Gane,0,5.84,1.16,1,0,1.69,3.00,0.32,0.00,1.00,0.00,0.00,20.33,14.33,0.00,0.00,0.00,2.00,2.00,1.26,4.00,0.40,0.50,1.00,0.14,0.25,17.50,7.00,0.75,0.50,0.50,-2,-6,-1,-1.00
Mike Rodriguez,Da-Un Jung,0,1.85,1.85,0,1,1.67,7.00,0.06,0.00,0.57,-0.06,0.29,4.29,8.00,-1.57,-2.43,-0.43,1.00,1.00,3.45,3.00,-0.10,0.00,0.84,-0.26,0.00,-2.33,7.67,-0.33,-1.67,0.33,0,4,5,4.00
Matt Schnell,Alexandre Pantoja,0,2.59,1.55,2,0,2.33,10.00,-0.21,0.33,0.61,-0.23,-0.10,-0.20,3.00,-0.30,-0.70,0.40,3.00,3.00,1.71,17.00,0.06,0.36,0.70,0.01,0.06,4.24,6.76,-0.65,-1.41,0.41,3,3,0,-7.00
Amanda Lemos,Miranda Granger,1,3.34,1.33,-1,-1,2.85,2.00,0.12,1.00,1.00,-0.11,0.00,-16.50,-43.00,0.50,0.50,0.00,1.00,0.00,1.95,3.00,0.10,0.00,1.00,-0.09,0.00,2.00,-7.67,0.00,0.00,0.00,-3,-3,5,-1.00
Suman Mokhtarian,SeungWoo Choi,0,3,1.36,-1,-1,5.50,1.00,0.02,0.00,1.00,-0.17,0.00,-18.00,-34.00,0.00,0.00,0.00,-2.00,-1.00,3.11,6.00,-0.27,0.50,0.66,-0.59,0.00,-6.33,2.33,-1.33,-4.17,-0.33,-4,-2,0,-5.00
Said Nurmagomedov,Raoni Barcelos,0,2.29,1.66,2,1,2.19,4.00,0.33,0.05,1.00,0.08,0.25,12.00,10.50,0.25,2.50,0.00,3.00,3.00,1.57,7.00,0.16,0.58,0.89,0.37,0.29,4.00,-10.43,0.57,0.43,0.29,1,3,-5,-3.00
Dooho Choi,Charles Jourdain,0,1.36,3.2,1,2,1.43,8.00,0.25,0.04,0.72,-0.07,0.25,-2.13,-10.50,-0.38,-0.38,0.00,-1.00,0.00,7.00,3.00,-0.16,0.00,0.00,-0.13,0.00,-7.67,0.67,-1.33,-1.33,0.00,1,1,4,5.00
Junyong Park,Marc-Andre Barriault,1,1.72,2.05,-1,-1,2.25,2.00,0.01,0.00,0.34,-0.44,0.00,11.00,19.00,-3.00,-4.50,-0.50,-2.00,0.00,2.43,6.00,0.10,0.17,0.80,-0.29,0.00,-0.67,-9.67,-0.33,-1.83,0.00,-3,-1,-1,-4.00
Pingyuan Liu,Kyung Ho Kang,0,3,1.36,1,-1,1.70,9.00,-0.10,0.33,0.54,-0.04,-0.11,-4.67,1.56,-0.33,-0.44,0.22,3.00,3.00,1.81,20.00,0.00,0.63,0.71,0.19,0.05,0.75,-0.55,0.50,0.20,0.30,-3,-1,-6,-11.00
Brandon Moreno,Kai Kara-France,1,2.4,1.63,2,2,2.48,17.00,0.02,0.53,0.71,0.15,0.06,-1.24,-1.71,0.24,0.35,0.24,3.00,0.00,1.40,9.00,0.14,0.43,0.91,0.15,0.11,10.22,9.67,0.11,-1.11,-0.33,3,1,0,8.00
Viviane Araujo,Jessica Eye,0,1.44,2.85,2,1,2.47,6.00,0.07,1.00,1.00,-0.04,0.17,2.33,-1.67,0.83,-0.33,0.00,-2.00,0.00,2.85,31.00,-0.06,0.20,0.70,-0.15,-0.06,0.71,5.29,-0.19,-0.48,-0.03,-2,2,0,-25.00
Germaine de Randamie,Amanda Nunes,0,4.65,1.22,5,2,1.71,16.00,0.20,0.00,0.92,-0.25,0.13,4.19,-0.63,-0.19,-2.06,0.00,10.00,8.00,2.02,24.00,0.21,0.24,0.82,0.15,0.21,8.29,10.71,0.25,0.17,0.04,1,2,4,-8.00
Colby Covington,Kamaru Usman,0,2.65,1.53,9,3,1.45,33.00,0.10,0.50,0.91,0.60,0.03,7.18,22.82,1.61,2.70,-0.06,10.00,2.00,1.44,33.00,0.12,0.39,1.00,0.57,0.09,12.52,19.12,1.27,2.00,-0.09,-1,-4,-1,0.00
Matt Brown,Ben Saunders,1,1.28,3.95,4,5,2.61,54.00,0.13,0.36,0.76,-0.18,0.06,4.65,4.00,-0.31,-1.11,0.17,0.00,-1.00,2.57,35.00,0.04,0.11,0.68,-0.22,-0.20,-0.97,-3.11,-0.34,-1.14,0.09,-2,-2,2,19.00
Urijah Faber,Petr Yan,0,4.75,1.21,5,6,2.27,51.00,0.13,0.27,0.73,0.19,0.06,0.76,-5.98,0.18,0.80,0.16,5.00,2.00,1.24,12.00,0.15,0.30,0.92,0.04,0.25,11.42,11.17,0.25,-0.67,0.08,-1,0,14,39.00
Geoff Neal,Mike Perry,1,1.33,3.5,4,3,1.44,8.00,0.17,0.13,1.00,0.20,0.38,8.25,4.63,0.25,-0.88,0.13,1.00,3.00,2.10,26.00,0.06,0.26,0.85,0.06,0.15,-0.69,-7.08,-0.04,-0.31,-0.08,1,4,1,-18.00
Jose Aldo,Marlon Moraes,0,2.45,1.61,6,1,1.70,48.00,0.02,0.17,0.93,-0.02,0.04,-1.77,-10.00,0.13,-1.00,0.06,2.00,2.00,1.73,12.00,0.18,0.08,0.88,0.07,0.25,-0.92,0.92,-0.17,-0.25,0.08,1,3,2,36.00
Irene Aldana,Ketlen Vieira,1,3,1.42,1,1,1.77,21.00,0.01,0.21,0.96,-0.10,-0.05,0.95,-1.57,0.00,-1.29,0.05,4.00,1.00,2.15,11.00,0.02,0.72,0.95,0.26,0.00,-5.27,-6.64,0.64,0.09,0.27,1,0,3,10.00
Omari Akhmedov,Ian Heinisch,1,1.95,1.87,3,-1,2.17,27.00,-0.04,0.39,0.74,0.09,0.00,1.07,9.26,0.52,0.93,-0.19,1.00,0.00,2.21,9.00,0.07,0.38,0.66,-0.17,0.11,3.33,3.56,-1.00,-1.78,0.22,1,1,1,18.00
Max Holloway,Alexander Volkanovski,0,1.5,2.7,13,10,1.91,60.00,0.07,0.19,0.86,-0.06,0.13,11.87,16.00,-0.25,-2.07,0.08,7.00,3.00,1.63,18.00,0.22,0.39,0.66,0.34,0.17,17.33,18.11,0.56,1.11,0.17,5,-2,-3,42.00
Cynthia Calvillo,Marina Rodriguez,0,2.3,1.67,4,3,1.61,14.00,0.10,0.57,0.85,0.27,0.00,1.79,0.07,0.21,0.43,0.50,1.00,0.00,1.81,9.00,0.09,0.08,0.87,-0.05,0.11,13.67,19.22,-0.11,-0.89,0.00,-2,-1,0,5.00
Thiago Alves,Tim Means,0,3.25,1.38,2,3,2.09,53.00,0.03,0.27,0.64,-0.15,0.09,1.34,-1.53,-0.57,-1.42,-0.02,2.00,3.00,1.72,42.00,0.09,0.29,0.67,-0.03,0.12,6.71,7.38,-0.48,-1.52,0.00,-5,-5,1,11.00
Makhmud Muradov,Trevor Smith,1,1.2,5,1,0,1.61,3.00,0.00,0.00,1.00,-0.01,0.00,6.00,18.67,0.00,0.33,0.00,-1.00,-2.00,2.99,29.00,0.05,0.23,0.76,0.23,-0.03,2.72,-1.17,0.38,1.00,0.07,-1,0,-9,-26.00
Yana Kunitskaya,Aspen Ladd,0,2.75,1.48,1,-1,3.45,7.00,-0.04,0.62,0.33,0.46,0.00,5.86,10.43,0.71,1.57,0.00,2.00,1.00,1.54,7.00,-0.20,0.44,0.90,0.14,-0.14,2.00,1.86,0.29,-0.14,0.43,0,2,6,0.00
Cody Stamann,Song Yadong,1,3,1.42,3,-1,1.95,14.00,0.07,0.49,0.65,0.06,0.00,6.36,3.21,0.71,-0.50,-0.14,4.00,3.00,1.53,7.00,0.18,0.50,1.00,0.20,0.43,6.86,6.43,0.43,0.00,0.29,-2,-3,8,7.00
Rob Font,Ricky Simon,1,1.69,2.25,3,4,1.86,18.00,0.09,0.28,0.56,0.08,0.28,4.78,7.39,0.00,0.61,0.22,2.00,0.00,1.80,10.00,-0.01,0.36,0.68,0.10,0.00,-4.40,-20.40,0.50,-0.10,0.10,2,2,5,8.00
Ben Rothwell,Stefan Struve,1,1.67,2.3,0,3,2.24,29.00,-0.15,0.07,0.84,-0.03,0.10,-8.17,-6.24,-0.10,0.00,0.00,4.00,5.00,2.05,43.00,-0.08,0.25,0.63,-0.23,-0.12,-3.56,-3.14,-0.37,-0.88,0.40,-7,-6,7,-14.00
Jairzinho Rozenstruik,Alistair Overeem,1,1.67,2.3,3,3,1.77,4.00,0.38,0.00,0.89,-0.07,0.75,1.50,0.75,-0.50,-1.50,0.00,4.00,1.00,1.86,30.00,0.25,0.19,0.83,0.11,0.10,4.97,-1.63,-0.10,-0.17,0.07,-2,-2,-8,-26.00
Matt Sayles,Bryce Mitchell,0,1.77,2.1,0,1,1.62,6.00,0.07,0.00,0.90,0.00,0.00,8.83,19.50,-0.33,-1.83,-0.50,2.00,0.00,2.01,6.00,0.12,0.15,0.31,-0.30,0.00,-0.83,-6.00,-0.83,0.17,0.17,-3,-2,0,0.00
Ricardo Ramos,Eduardo Garagorri,1,1.23,4.45,3,0,1.56,13.00,-0.07,0.42,0.85,-0.03,0.08,-0.85,-2.00,0.31,-0.08,0.08,1.00,0.00,1.69,3.00,0.11,1.00,0.60,-0.09,0.00,11.00,14.67,-1.00,-3.00,0.00,0,2,-6,10.00
Bobby Green,Francisco Trinaldo,0,2.35,1.65,0,1,2.96,26.00,0.12,0.23,0.77,0.03,-0.08,5.15,-2.12,-0.15,-0.38,0.04,7.00,4.00,2.09,47.00,0.07,0.32,0.71,0.02,0.04,3.51,3.45,-0.17,-0.66,0.04,1,1,-8,-21.00
Charles Oliveira,Jared Gordon,1,1.26,4.2,7,7,1.97,44.00,0.06,0.46,0.74,-0.05,0.02,0.61,-1.09,0.32,0.68,0.50,1.00,-1.00,1.62,12.00,0.15,0.33,0.60,0.30,-0.08,11.17,9.42,0.67,1.83,-0.33,1,6,-1,32.00
Renan Barao,Douglas Silva de Andrade,0,2.95,1.43,2,2,1.56,48.00,0.00,0.26,0.86,0.04,0.00,-0.40,4.88,0.40,0.21,0.06,0.00,-1.00,2.81,16.00,-0.07,0.39,0.71,-0.08,0.13,-3.69,-2.56,-0.25,-0.75,-0.25,-1,2,-2,32.00
Markus Perez,Wellington Turman,0,2.35,1.65,0,2,2.61,9.00,0.11,0.39,0.88,0.00,0.00,-7.56,-13.67,0.22,0.33,0.44,-1.00,0.00,2.80,3.00,-0.13,0.57,1.00,0.07,0.00,-8.33,-9.67,1.33,2.33,0.67,1,1,8,6.00
Sergio Moraes,James Krause,0,2.7,1.5,5,2,2.40,34.00,0.09,0.33,0.92,0.13,-0.18,-4.94,-16.50,0.35,0.82,0.15,4.00,3.00,2.45,23.00,0.10,0.19,0.47,0.13,-0.09,2.65,-5.04,-0.13,1.13,0.26,-2,-1,4,11.00
Jacare Souza,Jan Blachowicz,0,2.4,1.63,5,7,1.53,28.00,0.10,0.28,0.90,0.29,0.00,-1.18,-12.39,0.32,1.21,0.25,2.00,3.00,2.60,31.00,0.11,0.46,0.66,-0.10,0.10,1.97,1.55,0.00,-0.26,0.06,-1,-6,4,-3.00
Mauricio Rua,Paul Craig,1,1.44,2.85,1,2,2.19,48.00,0.03,0.24,0.62,-0.02,0.19,0.42,-2.40,-0.10,0.13,-0.10,0.00,0.00,3.41,15.00,0.02,0.28,0.83,-0.19,-0.07,-2.60,-3.07,0.40,2.27,0.20,-2,0,6,33.00
Randy Brown,Warlley Alves,1,2.15,1.74,2,1,1.91,21.00,0.04,0.39,0.81,-0.03,0.10,3.86,6.67,-0.14,-1.10,-0.05,4.00,4.00,1.58,25.00,-0.05,0.36,0.87,0.03,0.08,-2.68,-4.08,0.20,0.12,0.20,4,6,1,-4.00
Zelim Imadaev,Danny Roberts,0,1.42,3,-1,0,1.77,3.00,-0.08,0.00,0.46,-0.10,0.00,5.67,19.33,-2.00,-3.33,-1.00,1.00,-1.00,1.76,18.00,-0.11,0.00,0.69,-0.13,-0.11,1.06,4.22,-0.78,-1.33,-0.39,-1,2,-8,-15.00
Anthony Rocco Martin,Ramazan Emeev,1,2.15,1.74,3,2,1.88,35.00,0.00,0.19,0.73,0.16,0.06,0.94,4.86,-0.20,-0.06,0.20,3.00,0.00,1.47,9.00,0.16,0.42,0.87,0.21,0.11,5.56,3.22,0.44,0.89,0.11,2,-3,-2,26.00
Dalcha Lungiambula,Magomed Ankalaev,0,3.7,1.3,1,1,1.24,3.00,0.31,0.66,1.00,0.72,0.33,6.33,4.33,1.33,2.00,0.00,1.00,0.00,1.26,7.00,0.21,0.11,0.91,0.23,0.29,8.14,8.00,-0.14,-1.29,-0.14,-7,1,5,-4.00
Alexander Volkov,Greg Hardy,1,1.37,3.3,3,1,2.02,16.00,0.14,0.60,0.89,-0.10,0.00,16.75,18.75,0.06,-1.19,0.00,1.00,2.00,1.50,7.00,0.24,0.00,0.92,0.10,0.00,13.00,14.29,-0.14,-0.86,-0.14,2,0,0,9.00
Ed Herman,Khadis Ibragimov,1,2.95,1.43,1,2,2.69,41.00,-0.13,0.43,0.76,-0.11,0.02,-0.17,3.00,0.02,-0.29,0.07,-1.00,-1.00,1.34,3.00,0.10,0.16,1.00,0.26,0.00,2.33,-7.67,0.33,1.67,-0.33,-2,-1,15,38.00
Roosevelt Roberts,Alexander Yakovlev,1,1.77,2.1,1,1,1.30,7.00,0.04,0.39,0.50,0.03,0.00,0.00,0.43,0.00,-0.14,0.00,-1.00,1.00,2.69,17.00,0.10,0.41,0.76,-0.37,0.06,-3.24,-9.24,-0.18,-0.82,0.00,-1,-1,-10,-10.00
Calvin Kattar,Zabit Magomedsharipov,0,3.35,1.36,3,3,2.09,11.00,0.03,0.13,0.90,-0.01,0.27,-5.73,-10.45,0.09,0.09,0.00,5.00,3.00,1.19,13.00,0.19,0.55,0.94,0.34,0.00,10.08,6.38,1.85,2.69,0.31,-2,-1,3,-2.00
