FIGHTER_A,FIGHTER_B,Result,A Win,B Win,A_WIN_DIFF,A_FINISH_DIFF,A_AVG_ODDS,A_CUMULATIVE_RDS,A_STR_ACCURACY_DIFF,A_AVG_TD_ACCURACY,A_AVG_TD_DEFENCE,A_CTRL_TIME_DIFF,A_KD_PER_RD_DIFF,A_STR_PER_RD_DIFF,A_STR_ATTEMPT_PER_RD_DIFF,A_TD_PER_RD_DIFF,A_TD_ATTEMPT_PER_RD_DIFF,A_SUB_ATTEMPT_PER_RD_DIFF,B_WIN_DIFF,B_FINISH_DIFF,B_AVG_ODDS,B_CUMULATIVE_RDS,B_STR_ACCURACY_DIFF,B_AVG_TD_ACCURACY,B_AVG_TD_DEFENCE,B_CTRL_TIME_DIFF,B_KD_PER_RD_DIFF,B_STR_PER_RD_DIFF,B_STR_ATTEMPT_PER_RD_DIFF,B_TD_PER_RD_DIFF,B_TD_ATTEMPT_PER_RD_DIFF,B_SUB_ATTEMPT_PER_RD_DIFF,A_HEIGHT_DIFF,A_REACH_DIFF,A_AGE_DIFF,A_CUMULATIVE_RDS_DIFF
Holly Holm,Bethe Correia,1,1.18,5.35,0,0,2.28,23.00,0.02,0.33,0.89,0.03,0.04,2.04,11.22,-0.13,-0.52,-0.09,3.00,0.00,3.61,18.00,0.08,0.11,0.94,0.07,-0.06,3.00,-0.11,0.06,-0.11,-0.06,3,5,2,5.00
Andrei Arlovski,Marcin Tybura,0,2.9,1.43,1,-1,3.31,17.00,-0.07,0.17,0.77,-0.09,-0.12,1.12,3.24,-0.24,-1.35,-0.06,1.00,2.00,1.80,8.00,0.16,0.28,0.91,-0.20,0.13,6.38,4.38,-0.13,-1.00,-0.13,0,-1,6,9.00
Kwan Ho Kwak,Russell Doane,0,1.83,2,-1,0,2.80,3.00,-0.20,0.00,0.27,-0.65,0.00,1.33,16.00,-3.67,-5.00,0.00,-2.00,-1.00,2.94,13.00,-0.05,0.22,0.46,0.02,0.08,1.08,3.31,-0.31,-0.69,-0.23,-2,-70,-3,-10.00
Walt Harris,Cyril Asker,1,1.28,4,-2,0,2.28,12.00,-0.08,0.00,0.86,-0.12,0.25,-2.00,-4.00,-0.25,-1.08,0.08,0.00,0.00,1.99,2.00,-0.28,0.50,1.00,0.36,-0.50,0.00,21.00,0.50,1.50,0.00,5,3,2,10.00
Tarec Saffiedine,Rafael Dos Anjos,0,2.7,1.5,-1,-1,2.40,17.00,0.05,0.13,0.86,-0.09,0.12,0.41,-3.53,-0.06,-0.59,0.00,7.00,3.00,2.27,55.00,0.08,0.32,0.79,0.12,0.07,0.80,-4.07,0.36,0.64,0.18,2,0,-2,-38.00
Yuta Sasaki,Justin Scoggins,1,5.15,1.19,-1,0,1.43,10.00,-0.04,0.21,0.74,-0.31,-0.10,-3.40,-2.10,-0.20,0.70,0.00,1.00,-1.00,1.52,17.00,0.23,0.72,0.92,0.35,0.00,9.29,12.18,1.06,0.41,-0.12,3,5,3,-7.00
Dong Hyun Kim,Colby Covington,0,3,1.42,10,2,1.74,42.00,0.11,0.45,0.84,0.22,0.05,1.79,0.14,0.67,0.95,0.07,5.00,3.00,1.36,17.00,0.20,0.57,1.00,0.73,0.06,4.65,5.29,1.94,3.59,-0.12,3,4,7,25.00
Takanori Gomi,Jon Tuck,0,4.25,1.28,-3,-4,3.22,21.00,-0.09,0.05,0.60,-0.10,-0.05,-1.81,-1.14,-0.52,-1.24,-0.43,-1.00,2.00,1.98,19.00,0.01,0.09,0.51,0.09,0.11,-3.16,-8.74,-0.26,-0.53,0.21,-4,-3,6,2.00
Vinc Pichel,Damien Brown,1,1.8,2.05,1,-1,2.89,7.00,-0.19,0.46,0.72,0.18,0.00,2.86,4.29,1.57,2.43,-0.14,1.00,1.00,2.56,7.00,-0.11,0.11,0.76,-0.24,0.14,-1.43,6.29,-0.57,-0.57,0.00,0,4,2,0.00
Zak Ottow,Kiichi Kunimoto,1,1.27,4.1,0,0,2.75,6.00,0.00,0.00,0.71,-0.17,0.00,4.50,12.17,-0.33,-0.67,0.17,2.00,0.00,4.07,8.00,-0.19,0.17,0.81,0.24,-0.25,-10.63,-10.75,0.00,2.00,-0.13,1,1,-5,-2.00
Ben Nguyen,Tim Elliott,1,2.6,1.59,2,1,2.05,7.00,0.14,0.00,0.74,0.01,0.43,3.86,9.43,-0.71,-1.86,-0.57,-2.00,-1.00,3.17,24.00,0.09,0.67,0.72,0.02,0.04,5.54,6.00,0.83,0.88,0.17,-2,-1,-2,-17.00
Henrique da Silva,Ion Cutelaba,0,3.75,1.33,0,1,2.07,9.00,0.01,0.08,0.43,-0.11,-0.22,-2.56,-6.44,-0.56,-0.56,-0.44,-1.00,-1.00,2.02,9.00,-0.21,0.28,0.89,0.00,0.00,2.78,30.44,0.56,0.44,-0.11,2,1,4,0.00
Derek Brunson,Daniel Kelly,1,1.4,3.1,4,3,1.73,18.00,0.15,0.14,1.00,0.42,0.11,1.61,6.89,0.72,2.33,0.17,5.00,1.00,3.36,17.00,-0.04,0.27,0.90,0.11,-0.06,0.06,-6.53,0.35,0.53,0.06,1,7,-7,1.00
Derrick Lewis,Mark Hunt,0,1.67,2.3,7,6,1.76,21.00,0.03,0.26,0.73,-0.09,0.05,8.24,14.29,-0.86,-1.90,-0.10,3.00,1.00,2.81,35.00,-0.01,0.24,0.80,-0.04,0.09,-3.34,-2.14,-0.23,-1.17,-0.06,5,7,-11,-14.00
Dan Hooker,Ross Pearson,1,1.69,2.25,0,3,2.36,13.00,0.06,0.06,0.81,0.04,0.08,-5.92,-10.38,-0.77,-3.15,-0.46,1.00,2.00,2.05,57.00,0.06,0.36,0.78,-0.08,0.00,-0.16,-6.56,-0.09,-0.74,-0.04,4,6,-6,-44.00
Mizuto Hirota,Alexander Volkanovski,0,5.4,1.17,0,0,1.85,12.00,-0.04,0.56,0.83,0.07,-0.17,2.25,7.58,0.17,-0.50,-0.08,1.00,1.00,1.65,2.00,0.26,1.00,0.50,0.38,0.00,23.00,33.00,1.00,0.50,0.00,1,-4,7,10.00
Jamie Moyle,Viviane Pereira,0,2.58,1.56,1,0,2.00,3.00,0.25,0.30,1.00,-0.39,0.00,8.67,-4.33,1.00,3.33,-0.33,1.00,0.00,2.00,3.00,-0.05,1.00,0.00,0.13,0.00,-7.33,-18.67,0.00,0.00,0.00,0,2,4,0.00
Matthew Lopez,Johnny Eduardo,1,1.91,1.91,0,-1,1.85,6.00,-0.09,0.92,0.63,0.05,-0.17,-4.50,-6.17,0.33,-0.50,0.33,1.00,1.00,4.01,11.00,0.04,0.00,0.73,-0.12,0.18,-0.36,-5.18,-0.45,-1.09,0.00,0,-2,-9,-5.00
Antonio Carlos Junior,Eric Spicely,1,,,2,1,1.59,19.00,0.05,0.41,0.79,0.18,0.00,-0.11,0.79,0.95,2.11,0.05,1.00,1.00,3.92,3.00,0.16,0.28,1.00,0.15,0.00,0.67,-2.00,0.67,3.00,0.33,1,6,-4,16.00
Karolina Kowalkiewicz,Claudia Gadelha,0,3.4,1.36,2,0,2.67,14.00,-0.08,0.00,0.64,-0.14,0.00,-1.86,9.64,-0.29,-2.07,0.00,1.00,0.00,1.42,17.00,0.07,0.71,0.90,0.37,0.00,-1.76,-8.29,1.47,2.29,0.24,-1,1,3,-3.00
Oluwale Bamgbose,Paulo Costa,0,3.25,1.38,-1,0,2.41,5.00,0.11,0.00,0.47,-0.31,0.40,-0.40,1.40,-0.80,-1.20,0.00,1.00,1.00,1.29,1.00,0.26,0.00,1.00,0.06,1.00,16.00,18.00,0.00,-1.00,0.00,-2,6,4,4.00
Erick Silva,Yancy Medeiros,0,2.2,1.71,1,4,1.44,23.00,0.18,0.19,0.71,0.00,-0.04,-5.91,-9.52,-0.57,-1.48,0.17,0.00,0.00,2.33,15.00,-0.07,0.00,0.83,0.03,0.27,-6.07,4.67,-0.27,-0.80,0.13,2,-1,3,8.00
Vitor Belfort,Nate Marquardt,1,1.56,2.58,2,2,2.98,18.00,0.00,0.00,0.82,-0.14,0.17,-7.22,-12.11,-0.33,-1.17,0.06,-1.00,3.00,2.69,37.00,0.14,0.36,0.78,0.08,0.03,1.57,-1.54,0.22,0.19,0.03,0,0,2,-19.00
